"objectUser","parentFilePath","processFilePath","objectFilePath","fill","stroke","shape","label","image","signed"
"C:\Windows\System32\services.exe","","C:\Windows\System32\svchost.exe","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows Publisher""]"
"C:\Windows\System32\svchost.exe","","","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows Publisher""]"
"ratakonda.dheeraja","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-P6TJ0.tmp\safari_NAIrY-1.tmp","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-P6TJ0.tmp\safari_NAIrY-1.tmp","","","C:\Windows\SysWOW64\PGPhk.dll","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","C:\Windows\explorer.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Windows\explorer.exe","","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-P6TJ0.tmp\safari_NAIrY-1.tmp","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","C:\Windows\explorer.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Windows\explorer.exe","","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","C:\Windows\SysWOW64\PGPhk.dll","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"","","C:\Windows\explorer.exe","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\explorer.exe","","","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"ratakonda.dheeraja","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-48SM3.tmp\safari_NAIrY-1.tmp","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-48SM3.tmp\safari_NAIrY-1.tmp","","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-QI3H0.tmp\file_NAIrY-1.exe","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-48SM3.tmp\safari_NAIrY-1.tmp","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-48SM3.tmp\safari_NAIrY-1.tmp","","","C:\Windows\SysWOW64\PGPlsp.dll","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","C:\Windows\System32\svchost.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Windows\System32\svchost.exe","","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-48SM3.tmp\safari_NAIrY-1.tmp","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-TGAOK.tmp\safari_NAIrY-1.tmp","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-TGAOK.tmp\safari_NAIrY-1.tmp","","","C:\Windows\SysWOW64\PGPhk.dll","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-TGAOK.tmp\safari_NAIrY-1.tmp","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","C:\Windows\SysWOW64\PGPhk.dll","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","C:\Windows\explorer.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Google LLC""]"
"C:\Windows\explorer.exe","","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Google LLC""]"
"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","","","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Google LLC""]"
